127.0.0.1 - - [15/Dec/2020:17:16:46 +0200] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:16:57 +0200] "GET /Veneet/lisaavene.jsp HTTP/1.1" 200 2773
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:16:57 +0200] "GET /Veneet/scripts/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:16:57 +0200] "GET /Veneet/css/main.css HTTP/1.1" 200 454
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:17:40 +0200] "POST /Veneet/veneet HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:17:47 +0200] "GET /Veneet/listaaveneet.jsp HTTP/1.1" 200 1750
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:17:47 +0200] "GET /Veneet/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:17:47 +0200] "GET /Veneet/veneet/ HTTP/1.1" 200 593
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:17:52 +0200] "GET /Veneet/lisaavene.jsp HTTP/1.1" 200 2773
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:17:56 +0200] "GET /Veneet/lisaavene.jsp HTTP/1.1" 200 2773
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:17:56 +0200] "GET /Veneet/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:19:05 +0200] "GET /Veneet/listaaveneet.jsp HTTP/1.1" 200 1765
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:19:05 +0200] "GET /Veneet/css/main.css HTTP/1.1" 200 489
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:19:05 +0200] "GET /Veneet/veneet/ HTTP/1.1" 200 593
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:19:07 +0200] "GET /Veneet/listaaveneet.jsp HTTP/1.1" 200 1765
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:19:07 +0200] "GET /Veneet/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:19:07 +0200] "GET /Veneet/veneet/ HTTP/1.1" 200 593
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:20:56 +0200] "GET /Veneet/listaaveneet.jsp HTTP/1.1" 200 1765
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:20:56 +0200] "GET /Veneet/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:20:56 +0200] "GET /Veneet/veneet/ HTTP/1.1" 200 593
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:20:58 +0200] "GET /Veneet/lisaavene.jsp HTTP/1.1" 200 2779
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:21:16 +0200] "GET /Veneet/lisaavene.jsp?nimi=Vene&merkkimalli=Vene+Vene&pituus=10&leveys=10&hinta=1000 HTTP/1.1" 200 2779
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:21:16 +0200] "GET /Veneet/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:21:32 +0200] "GET /Veneet/listaaveneet.jsp HTTP/1.1" 200 1765
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:21:32 +0200] "GET /Veneet/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:21:32 +0200] "GET /Veneet/veneet/ HTTP/1.1" 200 593
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:21:35 +0200] "GET /Veneet/lisaavene.jsp HTTP/1.1" 200 2779
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:22:01 +0200] "GET /Veneet/lisaavene.jsp?nimi=Vene&merkkimalli=Vene+Vene&pituus=10&leveys=10&hinta=200 HTTP/1.1" 200 2773
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:22:01 +0200] "GET /Veneet/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:22:24 +0200] "GET /Veneet/lisaavene.jsp?nimi=Vene&merkkimalli=Vene+Vene&pituus=10&leveys=10&hinta=200 HTTP/1.1" 200 2773
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:22:24 +0200] "GET /Veneet/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:22:51 +0200] "POST /Veneet/veneet HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:23:11 +0200] "GET /Veneet/listaaveneet.jsp HTTP/1.1" 200 1765
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:23:11 +0200] "GET /Veneet/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:23:11 +0200] "GET /Veneet/veneet/ HTTP/1.1" 200 681
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:24:09 +0200] "GET /Veneet/listaaveneet.jsp HTTP/1.1" 200 1765
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:24:09 +0200] "GET /Veneet/css/main.css HTTP/1.1" 200 536
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:24:09 +0200] "GET /Veneet/veneet/ HTTP/1.1" 200 681
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:24:27 +0200] "GET /Veneet/listaaveneet.jsp HTTP/1.1" 200 1765
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:24:27 +0200] "GET /Veneet/css/main.css HTTP/1.1" 200 521
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:24:27 +0200] "GET /Veneet/veneet/ HTTP/1.1" 200 681
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:24:47 +0200] "GET /Veneet/listaaveneet.jsp HTTP/1.1" 200 1765
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:24:47 +0200] "GET /Veneet/css/main.css HTTP/1.1" 200 535
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:24:47 +0200] "GET /Veneet/veneet/ HTTP/1.1" 200 681
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:24:53 +0200] "GET /Veneet/listaaveneet.jsp HTTP/1.1" 200 1765
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:24:53 +0200] "GET /Veneet/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:24:53 +0200] "GET /Veneet/veneet/ HTTP/1.1" 200 681
0:0:0:0:0:0:0:1 - - [15/Dec/2020:17:24:57 +0200] "GET /Veneet/listaaveneet.jsp HTTP/1.1" 200 1765
